Id_Classificacao,Id_Piloto,Ano_Jogo,Temporada,Pos_Prova1,Pos_Prova2,Pos_Prova3,Pos_Prova4,Pos_Prova5,Pos_Prova6,Pos_Prova7,Pos_Prova8,Pos_Prova9,Pos_Prova10,Pos_Prova11,Pos_Prova12,Pos_Prova13,Pos_Prova14,Pos_Prova15,Pos_Prova16,Pos_Prova17,Pos_Prova18,Pos_Prova19,Pos_Prova20,Total_Pontos,Pos_Prova21,Pos_Prova22,Pos_Prova23,Pos_Prova24,Pos_Prova25,Tipo_Carreira
1091,204,2024,8,2,4,1,3,2,2,1,2,1,3,3,1,2,13,2,1,,,,,,,,,,,"Piloto"
1092,186,2024,8,3,8,5,5,0,3,5,5,9,6,6,5,4,9,7,4,,,,,,,,,,,"Piloto"
1093,194,2024,8,4,2,3,7,4,0,9,15,2,12,8,7,10,6,6,0,,,,,,,,,,,"Piloto"
1094,188,2024,8,9,0,6,9,12,8,4,8,5,0,4,3,5,3,10,6,,,,,,,,,,,"Piloto"
1095,206,2024,8,1,3,0,1,1,0,3,1,3,1,2,0,1,2,3,3,,,,,,,,,,,"Piloto"
1096,199,2024,8,6,9,8,4,16,5,12,14,6,4,9,12,12,4,5,10,,,,,,,,,,,"Piloto"
1097,210,2024,8,8,7,7,0,6,7,6,4,17,7,10,4,9,5,15,7,,,,,,,,,,,"Piloto"
1098,190,2024,8,7,6,11,6,15,6,7,12,4,8,7,14,14,15,9,5,,,,,,,,,,,"Piloto"
1099,195,2024,8,0,5,4,11,7,4,8,6,7,5,5,6,8,7,16,9,,,,,,,,,,,"Piloto"
1100,208,2024,8,12,10,12,13,8,9,14,10,16,10,11,19,7,17,11,8,,,,,,,,,,,"Piloto"
1101,214,2024,8,11,11,13,12,0,11,13,9,15,15,13,16,0,8,14,11,,,,,,,,,,,"Piloto"
1102,211,2024,8,19,14,14,16,11,13,15,13,10,14,19,11,11,14,17,14,,,,,,,,,,,"Piloto"
458,63,2019,9,1,1,2,1,1,1,1,1,0,1,1,0,1,1,1,1,9,1,1,1,,1,,,,,"Piloto"
1103,201,2024,8,18,18,17,15,19,17,16,19,19,18,18,13,17,20,18,17,,,,,,,,,,,"Piloto"
1104,209,2024,8,5,17,9,8,10,14,10,7,8,11,14,8,13,11,8,16,,,,,,,,,,,"Piloto"
1105,193,2024,8,16,12,10,10,9,10,11,16,12,9,12,10,6,16,0,15,,,,,,,,,,,"Piloto"
1106,196,2024,8,17,19,0,17,14,15,17,17,14,19,16,18,15,18,12,0,,,,,,,,,,,"Piloto"
1107,197,2024,8,15,16,18,18,17,18,19,0,18,17,17,17,18,19,13,18,,,,,,,,,,,"Piloto"
1108,205,2024,8,14,13,15,0,13,12,18,18,13,16,0,9,0,10,0,13,,,,,,,,,,,"Piloto"
1109,212,2024,8,13,15,16,14,18,16,0,11,0,13,15,15,16,12,4,12,,,,,,,,,,,"Piloto"
1110,202,2024,9,0,2,10,4,3,0,2,2,3,7,1,0,0,0,0,0,,,,,,,,,,,"Piloto"
1111,204,2024,9,3,3,2,3,2,1,0,1,2,4,3,3,0,0,0,0,,,,,,,,,,,"Piloto"
1112,188,2024,9,2,4,5,1,4,2,12,0,4,1,2,2,0,0,0,0,,,,,,,,,,,"Piloto"
1113,206,2024,9,1,1,1,2,1,3,1,6,1,2,0,1,0,0,0,0,,,,,,,,,,,"Piloto"
1114,186,2024,9,10,17,4,0,8,4,5,0,18,12,4,6,0,0,0,0,,,,,,,,,,,"Piloto"
1115,194,2024,9,9,9,7,5,5,5,6,9,6,3,6,8,0,0,0,0,,,,,,,,,,,"Piloto"
1116,190,2024,9,4,7,8,8,0,13,10,4,5,13,5,12,0,0,0,0,,,,,,,,,,,"Piloto"
1117,195,2024,9,7,5,13,7,17,10,4,7,7,5,10,7,0,0,0,0,,,,,,,,,,,"Piloto"
1118,199,2024,9,8,8,0,9,6,7,3,5,16,0,8,5,0,0,0,0,,,,,,,,,,,"Piloto"
1119,210,2024,9,12,6,3,6,11,11,7,3,14,15,7,4,0,0,0,0,,,,,,,,,,,"Piloto"
1120,209,2024,9,16,11,6,0,14,15,9,17,9,19,12,15,0,0,0,0,,,,,,,,,,,"Piloto"
1121,193,2024,9,0,12,16,10,9,9,0,16,15,10,15,0,0,0,0,0,,,,,,,,,,,"Piloto"
1122,208,2024,9,5,13,11,12,13,12,15,10,10,6,13,14,0,0,0,0,,,,,,,,,,,"Piloto"
1123,214,2024,9,6,14,18,13,15,6,8,8,11,14,19,11,0,0,0,0,,,,,,,,,,,"Piloto"
1124,205,2024,9,14,0,15,17,0,14,16,14,12,18,9,10,0,0,0,0,,,,,,,,,,,"Piloto"
1125,212,2024,9,18,10,9,15,12,19,13,18,8,11,11,9,0,0,0,0,,,,,,,,,,,"Piloto"
1126,211,2024,9,15,15,12,11,10,17,11,13,13,9,17,13,0,0,0,0,,,,,,,,,,,"Piloto"
1127,201,2024,9,11,18,14,14,7,16,14,15,17,16,14,17,0,0,0,0,,,,,,,,,,,"Piloto"
1128,196,2024,9,17,19,17,16,16,18,18,12,19,8,16,16,0,0,0,0,,,,,,,,,,,"Piloto"
1129,197,2024,9,13,16,19,0,18,8,17,11,0,17,18,18,0,0,0,0,,,,,,,,,,,"Piloto"
457,62,2019,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,"Piloto"
1130,223,2025,1,2,1,4,5,1,1,7,7,1,1,16,3,1,2,3,0,,,,,,,,,,,"Piloto"
1131,224,2025,1,6,3,0,4,6,4,14,5,0,4,0,6,3,6,5,3,,,,,,,,,,,"Piloto"
1132,217,2025,1,4,0,3,3,3,0,3,2,3,3,1,1,2,5,8,2,,,,,,,,,,,"Piloto"
1133,218,2025,1,14,4,1,6,7,3,1,4,7,5,4,5,5,8,2,5,,,,,,,,,,,"Piloto"
1134,215,2025,1,3,2,2,1,4,5,2,1,2,0,2,2,4,1,14,1,,,,,,,,,,,"Piloto"
1135,216,2025,1,16,16,6,0,18,6,15,18,4,8,9,8,6,18,0,11,,,,,,,,,,,"Piloto"
1136,219,2025,1,1,0,7,2,11,2,4,3,5,2,3,4,7,9,1,14,,,,,,,,,,,"Piloto"
1137,220,2025,1,5,6,9,10,9,7,13,8,6,17,15,7,0,0,18,10,,,,,,,,,,,"Piloto"
1138,227,2025,1,8,5,11,9,10,0,6,15,8,15,18,0,8,3,12,4,,,,,,,,,,,"Piloto"
1139,228,2025,1,12,10,10,11,16,12,17,11,15,9,17,10,12,12,10,7,,,,,,,,,,,"Piloto"
1140,221,2025,1,0,7,8,13,14,15,10,14,10,18,11,0,11,4,6,6,,,,,,,,,,,"Piloto"
1141,222,2025,1,15,8,17,15,0,16,18,17,17,19,13,17,16,13,17,12,,,,,,,,,,,"Piloto"
1142,229,2025,1,13,12,12,14,8,9,11,9,9,10,6,12,9,0,7,9,,,,,,,,,,,"Piloto"
1143,230,2025,1,11,17,14,12,5,10,0,16,16,12,8,15,14,11,19,15,,,,,,,,,,,"Piloto"
1144,231,2025,1,18,18,16,18,12,17,19,12,18,16,10,16,17,16,15,17,,,,,,,,,,,"Piloto"
1145,232,2025,1,17,13,5,19,17,14,8,10,14,14,12,14,0,14,16,13,,,,,,,,,,,"Piloto"
1146,234,2025,1,10,9,13,7,13,8,16,13,11,11,7,18,13,10,9,8,,,,,,,,,,,"Piloto"
1147,233,2025,1,7,14,0,17,19,11,9,0,12,7,19,11,10,7,11,0,,,,,,,,,,,"Piloto"
1148,226,2025,1,19,15,15,16,15,13,12,0,13,6,14,13,15,17,13,18,,,,,,,,,,,"Piloto"
1149,235,2025,1,9,11,0,8,2,0,5,6,0,13,5,9,0,15,4,16,,,,,,,,,,,"Piloto"
